Member,Party,Home State,District,Meeting Type,Date,Time,Location,Address
Jim McGovern,Democratic,Massachusetts,MA-2,Ticketed Event,"Sat, Feb 25, 2017","9:00 AM, EST",The Manor Banquet Facility,"42 W Boylston St, West Boylston, MA 01583"
Jim McGovern,Democrat,Massachusetts,MA-02,Other,"Sat, Feb 25, 2017","9:00 AM, EST",Union Station,"2 Washington Square, Worcester, MA 01604"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,First Monday,"4:00 PM, EST",Everett City Hall,"484 Broadway, Everett, MA 02149"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,First Thursday,"4:00 PM, EST",The Cooperative Bank in Charlestown,"201 Main St, Charlestown, MA 02129"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,First Tuesday,"4:00 PM, EST",Chelsea City Hall,"500 Broadway, Chelsea, MA 02150"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Friday,"3:00 PM, EST",Mattapan Health Center,"1575 Blue Hill Avenue, Boston, MA 02126"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Thursday,"10:00 AM, EST","Boston Public Library, Adams Village Branch","690 Adams St, Dorchester, MA 02122"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Thursday,"10:00 AM, EST","JP Licks, Brigham Circle","1618 Tremont St, Boston, MA 02120"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Thursday,"4:00 PM, EST",Somerville City Hall Alderman's Chamber,"93 Highland Ave, Somerville, MA 02143"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Second Thursday,"12:00 PM, EST",Fenway Community Health Center,"1340 Boylston St, Boston, MA 02215"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Second Tuesday,"4:00 PM, EST",Maverick Marketplace Business Incubator East Boston Main Streets,"154 Maverick St, Boston, MA 02128"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Third Friday,"11:00 AM, EST",Veronica Smith Senior Center,"20 Chestnut Hill Ave, Boston, MA 02135"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Third Thursday,"2:30 PM, EST",Bean and Cream,"680 Truman Pkwy, Hyde Park, MA 02136"
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Third Wednesday,"11:00 AM, EST",Fuller Village Library,"1372 Brush Hill Rd, Milton, MA 02186"
John Moolenaar,Republican,Michigan,MI-04,Office Hours,"Tue, Feb 28, 2017","11:30 AM, EST","Isabella County Building, Room 320","200 N Main St, Mt Pleasant, MI 48858"
Gary Peters,Democratic,Michigan,Senate,Coffee,Every Tues when Senate is in session.,"9:00 AM, EST",Sen. Peters D.C. office,"Hart Senate Office Building, #724, Washington, DC 20002"
Justin Amash,Republican,Michigan,MI-03,Town Hall,"Thu, Feb 23, 2017","12:00 PM, EST",Full Blast Recreation Center,"35 Hamblin Avenue, Battle Creek, MI 49017"
Debbie Dingell,Democrat,Michigan,MI-12,Town Hall,"Tue, Feb 21, 2017","7:00 PM, CST","Annenberg Auditorium, Ford School (Weill Hall), University of Michigan","735 S State St, Ann Arbor, MI 48104"
Bill Huizenga,Republican,Michigan,MI-02,Town Hall,"Sat, Feb 25, 2017","12:00 PM, EST",Baldwin Senior High School,"525 4th St, Baldwin, MI 49304"
